Punishment, freeform, 18627
Fluff and Smut, freeform, 164784
Alternate Universe - College/University, freeform, 140701
Flirting, freeform, 95868
Falling In Love, freeform, 125341
Short & Sweet, freeform, 39372
Merlin & Arthur Pendragon (Merlin), relationship, 5050
Bromance, freeform, 11550
Minor Character Death, freeform, 76430
Grief/Mourning, freeform, 104027
Gabriel (Supernatural), character, 27516
Nico di Angelo, character, 18178
Stiles Stilinski, character, 93048
Crossover, freeform, 98782
Hogwarts, freeform, 11214
Canon Compliant, freeform, 177704
Banter, freeform, 38269
Ficlet, freeform, 51432
Hunith (Merlin), character, 2490
Kilgharrah (Merlin), character, 2015
Lancelot (Merlin), character, 6425
Alternate Universe - Royalty, freeform, 26482
Role Reversal, freeform, 12097
Max Verstappen, character, 4458
Introspection, freeform, 54486
Mutual Pining, freeform, 150102
Slice of Life, freeform, 81546
True Love, freeform, 26071
Flowers, freeform, 20963
Charles Leclerc, character, 3985
Marriage Proposal, freeform, 40455
Male Slash, freeform, 14687
Male Friendship, freeform, 17954
Rivalry, freeform, 15054
Misunderstandings, freeform, 79807
Near Death Experiences, freeform, 17635
Love Confessions, freeform, 124796
Mild Hurt/Comfort, freeform, -2
Enemies to Friends, freeform, 12415
Daniel Ricciardo, character, 3516
Pierre Gasly, character, 2252
One Shot Collection, freeform, 20063
Light Dom/sub, freeform, 80416
Anders (Dragon Age), character, 9517
Female Hawke (Dragon Age), character, 8758
That's it, freeform, 0
Cole (Dragon Age), character, 5310
Cassandra Pentaghast, character, 9760
The Iron Bull (Dragon Age), character, 10787
Watersports, freeform, 22301
Aftercare, freeform, 39142
Orgasm Delay, freeform, 4246
Explicit Sexual Content, freeform, 133029
Female Inquisitor/Solas (Dragon Age), relationship, 6330
Female Inquisitor (Dragon Age), character, 20000
Female Lavellan (Dragon Age), character, 9192
Solas (Dragon Age), character, 11695
Alistair (Dragon Age), character, 8422
Leliana (Dragon Age), character, 9733
Wakes & Funerals, freeform, 6517
Bathing/Washing, freeform, 58028
Secret Relationship, freeform, 48773
Sibling Rivalry, freeform, 4576
Sibling Love, freeform, 21822
Enemies to Friends to Lovers, freeform, 44146
Motherhood, freeform, 18983
Class Differences, freeform, 2888
Power Dynamics, freeform, 28860
Angst with a Happy Ending, freeform, 240074
Varric Tethras, character, 14834
Shameless Smut, freeform, 62627
Teasing, freeform, 72934
Dirty Talk, freeform, 109973
Vaginal Fingering, freeform, 83982
Vaginal Sex, freeform, 118837
Size Difference, freeform, 28036
Cassandra Pentaghast/Varric Tethras, relationship, 660
Promises, freeform, 6914
Mild Angst, freeform, 233694
Unhealthy Coping Mechanisms, freeform, 21847
Consensual Non-Consent, freeform, 6604
Consensual But Not Safe Or Sane, freeform, 2091
Mild Blood, freeform, 16961
Choking, freeform, 42155
Verbal Humiliation, freeform, 13291
Semi-Public Sex, freeform, 57418
Clothed Sex, freeform, 17292
First Kiss, freeform, 170702
Pre-Relationship, freeform, 127470
Whump, freeform, 56827
Canon-Typical Violence, freeform, 144819
Pining, freeform, 310121
Sibling Incest, freeform, 54252
Incest, freeform, 105118
Polyamory, freeform, 112038
Sex Toys, freeform, 143130
Background Relationships, freeform, 160319
Dom/sub, freeform, 216508
Rope Bondage, freeform, 16564
Male Lavellan/Dorian Pavus, relationship, 1832
Dorian Pavus, character, 14398
Male Lavellan (Dragon Age), character, 3173
First Meetings, freeform, 87869
Death, freeform, 416595
Cullen Rutherford, character, 16357
Female Trevelyan (Dragon Age), character, 5840
Past Relationship(s), freeform, 64960
Threesome - F/M/M, freeform, 28509
Blow Jobs, freeform, 216533
Alcohol, freeform, 208056
Cunnilingus, freeform, 67854
Female Lavellan/Cullen Rutherford, relationship, 2394
Iron Bull/Dorian Pavus, relationship, 3225
Female Inquisitor/Cullen Rutherford, relationship, 8130
Zevran Arainai, character, 5603
Female Hawke, character, 8758
Fenris (Dragon Age), character, 8905
Niall Horan, character, 32860
Louis Tomlinson, character, 47456
Harry Styles, character, 50712
Mystery, freeform, 44539
Creepy, freeform, 7668
Liam Payne, character, 31674
Denial of Feelings, freeform, 22418
Alternate Universe - Hospital, freeform, 3432
Major Character Injury, freeform, 29111
Harry Styles/Louis Tomlinson, relationship, 38711
Song Lyrics, freeform, 13071
Boys In Love, freeform, 43328
Slow Build, freeform, 262936
Eventual Smut, freeform, 87140
Famous Harry, freeform, 1117
Zayn Malik, character, 30830
Gemma Styles, character, 3324
Alternate Universe - Coffee Shops & Cafés, freeform, -2
Joker (DCU)/Harleen Quinzel, relationship, 1821
Joker (DCU)/Bruce Wayne, relationship, 2738
Pamela Isley/Harleen Quinzel, relationship, 2529
Joker (DCU), character, 6579
Harleen Quinzel, character, 8414
Batman, character, 70115
Kissing, freeform, 424976
Alternate Universe - High School, freeform, 86336
Hospitals, freeform, 36302
Sort Of, freeform, 0
Letters, freeform, 29283
Recreational Drug Use, freeform, 25202
Drinking, freeform, 82877
larry stylinson - Freeform, freeform, 0
Longing, freeform, 310121
Secrets, freeform, 89823
I Will Go Down With This Ship, freeform, 17221
Fake Dating, freeform, 39402
Zayn Malik/Liam Payne, relationship, -2
Niall Horan/Liam Payne, relationship, 2264
Coming Out, freeform, 41393
First Time, freeform, 145980
Work In Progress, freeform, 18592
College, freeform, 155793
Mild Sexual Content, freeform, 128191
Translation, freeform, 8691
Español | Spanish, freeform, -2
Bottom Harry, freeform, 5924
Safewords, freeform, 8244
Light Bondage, freeform, 34906
Yelena Belova & Natasha Romanov, relationship, 1532
Steve Rogers & Natasha Romanov, relationship, 3313
Yelena Belova, character, 6331
Peter Parker, character, 91976
Heavy Angst, freeform, 73723
Arguing, freeform, 26496
Tony Stark Acting as Peter Parker's Parental Figure, freeform, 13756
Tony Stark Has A Heart, freeform, 19412
Precious Peter Parker, freeform, 9338
Peter Parker is a Good Bro, freeform, 928
Social Anxiety, freeform, 6423
Loki/Mobius M. Mobius, relationship, 3295
Loki & Thor (Marvel), relationship, 5546
Loki (Marvel), character, 70054
Mobius M. Mobius, character, 4327
Hela (Marvel), character, 2320
Stephen Strange, character, 20374
Ravonna Lexus Renslayer, character, 709
Graphic Description, freeform, 11874
Alternate Universe - Dark, freeform, 7552
Hurt Loki (Marvel), freeform, 2081
Abusive Relationships, freeform, 14989
Post-Thor: Ragnarok (2017), freeform, 1866
Thor is a Good Bro (Marvel), freeform, 1995
Protective Thor (Marvel), freeform, 1549
Sexual Tension, freeform, 89734
Jealousy, freeform, 103971
Torture, freeform, 103206
Psychological Torture, freeform, 13302
Jotunn Loki (Marvel), freeform, 3419
Implied/Referenced Self-Harm, freeform, 47545
